system,seed,cpu_mode,cpu_affinity_core,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
thermostat,42,aggressive,,safe_eval,500,1.0,0.0015961545517924633,0.0,True,1253.3084044456482,239.9453125,1.0,0.0018030570011883784,0.0,1.0,0.0017543859649122807,0.0,530.1,106020,51.25077948500284,136.83700999999974,11.380230513110735,25.23830999999988,71.49597432559894,182.29188999999985
thermostat,43,aggressive,,safe_eval,1100,1.0,0.001611703446565832,0.0,True,1258.659939289093,237.046875,1.0,0.0018548387096774194,0.0,1.0,0.0016542520747463171,0.0,541.03,108206,56.95998713564867,151.14449999999985,12.445500268007319,28.053,79.50873235310428,200.10899999999995
thermostat,44,aggressive,,safe_eval,300,1.0,0.0015000337086226658,0.0,True,1311.1209607124329,245.21484375,1.0,0.0018881847382585294,0.0,1.0,0.0018706467661691543,0.0,502.5,100500,33.93541421890547,49.79509999999995,7.709247412935325,11.301,47.04795523383085,68.37
thermostat,45,aggressive,,safe_eval,400,1.0,0.0015892917056631762,0.0,True,1331.8631763458252,244.62109375,1.0,0.0015856048458934616,0.0,1.0,0.0017301554156847537,0.0,502.845,100569,28.29814852489336,45.195,6.391612415356622,10.46,39.116495132694965,62.18087999999993
thermostat,46,aggressive,,safe_eval,1800,1.0,0.0016399871653178365,0.0,True,1301.2392551898956,240.0,1.0,0.0017744990529358986,0.0,1.0,0.0016681376019552125,0.0,515.545,103109,36.48068076501566,54.874,8.155880960924847,11.903,50.44988079605078,75.17219999999999
thermostat,47,aggressive,,safe_eval,2000,1.0,0.0016002964759787076,0.0,True,1290.3220384120941,235.703125,1.0,0.0016925765798914544,0.0,1.0,0.001727297018742604,0.0,523.94,104788,38.365035547963515,60.144,8.649834923846242,12.594,53.19006625758674,82.727
thermostat,48,aggressive,,safe_eval,400,1.0,0.001600369863257286,0.0,True,1324.0614411830902,260.01171875,1.0,0.0016701947913227554,0.0,1.0,0.001801452784503632,0.0,516.25,103250,29.132993520581117,46.278,6.521389743341404,10.57,40.18756369007264,63.691
thermostat,49,aggressive,,safe_eval,1700,1.0,0.0014741531808949747,0.0,True,1342.241287469864,231.9765625,1.0,0.0019792607891226713,0.0,1.0,0.0017643772238504591,0.0,510.095,102019,27.31620243288015,44.124,6.153392848390984,10.279,37.71620241327595,60.685
thermostat,50,aggressive,,safe_eval,1400,1.0,0.0016288663444344116,0.0,True,1297.383172750473,242.51953125,1.0,0.001884570082449941,0.0,1.0,0.0017985243924870731,0.0,489.29,97858,41.786922581700026,75.61786999999994,9.202271740685484,13.686,57.82173729281203,101.46686999999993
thermostat,51,aggressive,,safe_eval,1300,1.0,0.0015464544490973223,0.0,True,1342.098087310791,243.73046875,1.0,0.0017322252282060764,0.0,1.0,0.0018427826017286101,0.0,499.245,99849,27.360264228985763,44.404,6.0918041943334424,10.129520000000005,37.64596647938386,61.086
